CustomerID,balance,max_spent,mean_spent,min_spent,n_orders,time_between_orders,total_items,total_items_returned,total_refunded,total_spent
12346,0.0,77183.6,38591.8,0.0,2.0,365.0,74215.0,-74215.0,-77183.6,77183.6
12348,3874.6,2248.8,1291.533333333333,478.8,3.0,54.5,6876.0,0.0,0.0,3874.6
12350,294.4000000000001,294.4000000000001,294.4000000000001,294.4000000000001,1.0,365.0,196.0,0.0,0.0,294.4000000000001
12352,1845.13,1054.1,393.092,0.0,5.0,11.333333333333336,774.0,-63.0,-120.33,1965.46
12354,1079.4,1079.4,1079.4,1079.4,1.0,365.0,530.0,0.0,0.0,1079.4
12356,6621.629999999997,5011.339999999998,3310.8149999999987,1610.2900000000004,2.0,80.0,4455.0,0.0,0.0,6621.629999999997
12358,404.86,404.86,404.86,404.86,1.0,365.0,98.0,0.0,0.0,404.86
12360,4359.34,2984.600000000001,2179.67,1374.7400000000002,2.0,88.0,2116.0,0.0,0.0,4359.34
12361,174.89999999999995,174.89999999999995,174.89999999999995,174.89999999999995,1.0,365.0,90.0,0.0,0.0,174.89999999999995
12362,4700.73,1437.0,787.255,0.0,6.0,58.0,2929.0,-10.0,-22.8,4723.53
12364,1840.52,1840.52,1840.52,1840.52,1.0,365.0,1656.0,0.0,0.0,1840.52
12373,324.6,324.6,324.6,324.6,1.0,365.0,196.0,0.0,0.0,324.6
12377,1548.1199999999994,1001.5199999999996,774.0599999999997,546.6,2.0,39.0,942.0,0.0,0.0,1548.1199999999994
12378,4008.6200000000013,4008.6200000000013,4008.6200000000013,4008.6200000000013,1.0,365.0,2529.0,0.0,0.0,4008.6200000000013
12379,1117.6299999999997,1119.5799999999997,559.7899999999998,0.0,2.0,365.0,610.0,-1.0,-1.95,1119.5799999999997
12380,1632.25,1632.25,1632.25,1632.25,1.0,365.0,798.0,0.0,0.0,1632.25
12381,3033.67,3033.67,3033.67,3033.67,1.0,365.0,1790.0,0.0,0.0,3033.67
12383,1617.31,591.1599999999999,271.4266666666667,0.0,6.0,41.25,1518.0,-3.0,-11.25,1628.56
12384,668.81,668.81,668.81,668.81,1.0,365.0,186.0,0.0,0.0,668.81
